language,languageLabel,iso6393,nativeSpeakers,totalSpeakers
http://www.wikidata.org/entity/Q13297,Nafaanra,nfr,,
http://www.wikidata.org/entity/Q13299,Nagarchal,nbg,,
http://www.wikidata.org/entity/Q13301,Khoekhoe,naq,250000,
http://www.wikidata.org/entity/Q13303,Nanai,gld,1390,
http://www.wikidata.org/entity/Q13307,Nauruan,nau,1000,
http://www.wikidata.org/entity/Q13307,Nauruan,nau,9300,
http://www.wikidata.org/entity/Q13310,Navajo,nav,169369,
http://www.wikidata.org/entity/Q13311,Ndau,ndc,,
http://www.wikidata.org/entity/Q13313,Meru,mer,,
http://www.wikidata.org/entity/Q13315,Michif,crg,730,
http://www.wikidata.org/entity/Q13316,Mikasuki,mik,190,
http://www.wikidata.org/entity/Q13324,Minangkabau,min,5530000,
http://www.wikidata.org/entity/Q13333,Mobilian Jargon,mod,,
http://www.wikidata.org/entity/Q13336,Moghol,mhj,200,
http://www.wikidata.org/entity/Q13345,Lengue,bxc,,
http://www.wikidata.org/entity/Q13349,Mon,mnw,850000,
http://www.wikidata.org/entity/Q13351,Innu-aimun,moe,11000,
http://www.wikidata.org/entity/Q13356,Mazanderani,mzn,3270000,
http://www.wikidata.org/entity/Q13357,Meänkieli,fit,70000,
http://www.wikidata.org/entity/Q13357,Meänkieli,fit,150000,
http://www.wikidata.org/entity/Q13361,Mehri,gdq,,
http://www.wikidata.org/entity/Q13363,Menominee,mez,35,
http://www.wikidata.org/entity/Q13368,Mescalero-Chiricahua,apm,,
http://www.wikidata.org/entity/Q13389,Bashkir,bak,1200000,
http://www.wikidata.org/entity/Q13955,Arabic,ara,295000000,
http://www.wikidata.org/entity/Q13955,Arabic,ara,315421300,
http://www.wikidata.org/entity/Q14183,Irish Sign Language,isg,,
http://www.wikidata.org/entity/Q14759,American Sign Language,ase,250000,
http://www.wikidata.org/entity/Q15085,Piedmontese,pms,2000000,
http://www.wikidata.org/entity/Q20607,Upper Umpqua,xup,,
http://www.wikidata.org/entity/Q20609,Nicola,,,
http://www.wikidata.org/entity/Q20614,Carrier,crx,1270,
http://www.wikidata.org/entity/Q20627,Tututni,tuu,,
http://www.wikidata.org/entity/Q20628,North Slavey,scs,,
http://www.wikidata.org/entity/Q20711,Galice,gce,,
http://www.wikidata.org/entity/Q20822,Northern Tutchone,ttm,,
http://www.wikidata.org/entity/Q20823,Kaska,kkz,,
http://www.wikidata.org/entity/Q20824,Mattole,mvb,0,
http://www.wikidata.org/entity/Q20825,Tsuutʼina,srs,,
http://www.wikidata.org/entity/Q20826,Danezaa,bea,160,
http://www.wikidata.org/entity/Q20827,Tolowa,tol,,
http://www.wikidata.org/entity/Q20829,Tsetsaut,txc,,
http://www.wikidata.org/entity/Q20831,Kato,ktw,,
http://www.wikidata.org/entity/Q20832,Wailaki,wlk,0,
http://www.wikidata.org/entity/Q20979,Tłı̨chǫ,dgr,1735,
http://www.wikidata.org/entity/Q21057,Gwich’in,gwi,670,
http://www.wikidata.org/entity/Q21058,Ahtna,aht,80,
http://www.wikidata.org/entity/Q22711,Pennsylvania German,pdc,148000,
http://www.wikidata.org/entity/Q23014,Palatinate German,pfl,1000000,
http://www.wikidata.org/entity/Q23855,Anus,auq,70,
http://www.wikidata.org/entity/Q25164,Nynorsk,nno,4320000,
http://www.wikidata.org/entity/Q25167,Bokmål,nob,4000000,
