,iso6393,language,languageLabel,nativeSpeakers,totalSpeakers,ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID_x,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate,Language_ID_y,classification,path,top_family_id,first_subfamily_id,top_family,top_family_level,first_subfamily,first_subfamily_level,mainScript
0,cmn,http://www.wikidata.org/entity/Q9192,Mandarin,918000000,,mand1415,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn,language,CN;KP;LA;MM;MN;RU;TW;VN,sino1245,,cmn,,,False,mand1415,sino1245/sini1245/clas1255/midd1354/nort3155/mand1471,"['sino1245', 'sini1245', 'clas1255', 'midd1354', 'nort3155', 'mand1471']",sino1245,sini1245,Sino-Tibetan,family,Sinitic,family,
1,eng,http://www.wikidata.org/entity/Q1860,English,753359540,,stan1293,English,Africa;Eurasia;South America,53.0,-1.0,stan1293,eng,language,AU;BM;BR;BZ;CA;CC;CK;CU;CX;DO;FK;GB;GG;GI;GP;GS;GT;GY;HN;IE;IM;IO;JE;KY;LR;MX;NF;PN;SH;SR;UM;US;VE;ZA,indo1319,,eng,,,False,stan1293,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271,"['indo1319', 'clas1257', 'germ1287', 'nort3152', 'west2793', 'nort3175', 'angl1264', 'angl1265', 'late1254', 'merc1242', 'macr1271']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
2,spa,http://www.wikidata.org/entity/Q1321,Spanish,485000000,,stan1288,Spanish,Eurasia,40.4414,-1.11788,stan1288,spa,language,AD;AR;BO;BR;BZ;CL;CO;CR;CU;DO;EC;ES;FR;GI;GT;GY;HN;HT;MA;MX;NI;PA;PE;PR;PT;PY;SV;US;UY;VE,indo1319,,spa,,,False,stan1288,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/cast1243,"['indo1319', 'clas1257', 'ital1284', 'lati1262', 'lati1263', 'impe1234', 'roma1334', 'ital1285', 'west2813', 'shif1234', 'sout3183', 'west2838', 'cast1243']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
3,arb,http://www.wikidata.org/entity/Q122602987,Standard Arabic,335000000,,stan1318,Standard Arabic,Eurasia,27.9625,43.8525,stan1318,arb,language,AE;BH;DJ;DZ;EG;ER;IL;IQ;JO;KM;KW;LB;LY;MA;OM;PS;QA;SA;SD;SO;SY;TD;TN;TZ;YE,afro1255,,arb,,,False,stan1318,afro1255/semi1276/west2786/cent2236/arab1394/arab1395,"['afro1255', 'semi1276', 'west2786', 'cent2236', 'arab1394', 'arab1395']",afro1255,semi1276,Afro-Asiatic,family,Semitic,family,
4,ben,http://www.wikidata.org/entity/Q9610,Bangla,300000000,,beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben,language,BD;IN;NP,indo1319,,ben,,,False,beng1280,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1323/oriy1254/gaud1237/gaud1238,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'indo1323', 'oriy1254', 'gaud1237', 'gaud1238']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
5,por,http://www.wikidata.org/entity/Q5146,Portuguese,221000000,,port1283,Portuguese,Eurasia,39.91,-8.1,port1283,por,language,AD;AR;BO;BR;CO;ES;FR;GF;GY;PE;PT;PY;SR;UY;VE,indo1319,,por,,,False,port1283,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/braz1247,"['indo1319', 'clas1257', 'ital1284', 'lati1262', 'lati1263', 'impe1234', 'roma1334', 'ital1285', 'west2813', 'shif1234', 'sout3183', 'west2838', 'gali1263', 'macr1272', 'braz1247']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
6,rus,http://www.wikidata.org/entity/Q7737,Russian,154000000,,russ1263,Russian,Eurasia,59.0,50.0,russ1263,rus,language,BY;CN;EE;FI;GE;KG;KP;KZ;LT;LV;MD;MN;NO;PL;RO;RU;SJ;TM;UA;UZ,indo1319,,rus,,,False,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,"['indo1319', 'clas1257', 'balt1263', 'slav1255', 'east1426']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
7,jpn,http://www.wikidata.org/entity/Q5287,Japanese,128000000,,nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,language,JP,japo1237,,jpn,,,False,nucl1643,japo1237/japa1256/japa1258,"['japo1237', 'japa1256', 'japa1258']",japo1237,japa1256,Japonic,family,Japanesic,family,
8,pan,http://www.wikidata.org/entity/Q58635,Punjabi,125000000,,panj1256,Eastern Panjabi,Eurasia,30.0368,75.6702,panj1256,pan,language,BD;IN;PK,indo1319,,pan,,,False,panj1256,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1324/sind1278/lahn1241/east2727,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'indo1324', 'sind1278', 'lahn1241', 'east2727']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
9,mar,http://www.wikidata.org/entity/Q1571,Marathi,83100000,,mara1378,Marathi,Eurasia,17.9344,76.6665,mara1378,mar,language,IN,indo1319,,mar,,,False,mara1378,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1325/mara1416/mara1422/oldm1248/mode1268,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'indo1325', 'mara1416', 'mara1422', 'oldm1248', 'mode1268']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
